ent_ip_src,ent_tp_src,ent_tp_dst,ent_packet_type,total_packets
2.125071687,3.7769257471,2.7946810042,0,362
2.021006306,2.6750025612,2.7633118792,0.2964316318,122
2.2596511715,3.459820104,2.2437945034,0.0354056104,2408
2.0938323367,3.6181612357,2.0198691952,0.0485118454,1720
2.2794781239,4.0926166056,2.5920248038,0.1365498493,2045
2.1326651274,3.1688830881,3.3761678584,0.1272202462,521
2.9263572995,4.0058010278,2.9054628546,0.100000943,556
2.1447710373,3.6275874266,2.0486310239,0.0870319234,4045
2.842079914,3.7938930204,2.7551490731,0.1324770592,988
2.9017337224,4.0673828142,3.086891356,0.0688193759,1020
1.8698038399,3.6411088464,2.0204404001,0.0266846287,2303
1.3871440133,3.8832901343,1.4313723553,0.0347031148,1380
1.4444675576,3.3301841051,2.0302250257,0.0302259191,2603
2.4576621558,3.7560435645,2.8388553698,0,663
1.8100594405,3.7287886388,2.0973839024,0.0543958792,767
2.3301906205,3.2351180889,2.4350221246,0.1773894532,646
2.3258586682,3.4593256491,2.9481021733,0,357
2.3520788512,3.2378155645,3.1117333009,0,142
2.3214096134,3.3386699069,3.3618473687,0.2752192319,646
2.8892927212,3.0627733054,3.0972469658,0.4912373418,219
2.0416463508,3.2542884584,2.4075050855,0.0694373031,1610
2.0980350032,3.7125594718,2.1364576868,0.0169441039,1312
1.9583358317,3.6243098725,2.3008435814,0.0501791333,2184
1.2063781481,2.5313987222,1.7760397153,0.0398341441,1404
1.917268683,2.8262565548,2.1597450329,0.172548559,370
2.7296738607,3.4172842017,3.1415659931,0,93
1.9913480259,3.0674844424,2.9340501583,0.0503176129,386
1.7419080673,3.0026943129,2.1293084334,0.06679717,1962
1.4501447428,1.8762461791,1.3213099165,0.0738944211,2543
2.2110782621,3.3593024427,2.2319621143,0.1282656133,2494
2.3273078389,3.406983334,2.2801869069,0.1062393319,2523
1.8701506516,3.0359616797,2.4816207377,0.0736809494,806
1.7891326971,2.0231613205,2.0722720664,0.0267661963,411
2.0408823934,2.4579192307,1.7987612896,0,757
2.0904828455,2.317826669,2.0288077465,0,331
2.2044750898,3.3023264537,2.162662956,0,1625
1.8336532683,3.2923384338,2.2777814606,0,950
1.9015758839,2.7423875447,1.9778122283,0,141
2.1034404013,3.6613141827,2.5139039118,0.0751264215,903
2.566434326,3.7493285233,2.6483477201,0.0464581088,1793
1.8331549609,1.6153366648,1.4606536399,1.0529815751,81
1.8328959081,2.9383951762,2.7610342108,0,245
2.2438836878,3.5514437457,3.0359879229,0.1454942488,202
