ent_ip_src,ent_tp_src,ent_tp_dst,ent_packet_type,total_packets,ATKorNot
3.8516929726,1.0367878478,6.3290886984,0.0813948487,676,0
3.5167964037,0.6209261793,6.2505083044,0.1214804783,242,0
2.7795448649,1.499738119,6.1203303375,0,391,0
2.1118680151,0.457498043,6.789052128,0.032788813,294,0
1.9301848366,1.6498958011,6.2207841616,0,356,0
1.9196383236,0.3133489769,6.8424999843,0,383,0
2.4019451222,1.6206383899,6.4466544677,0.0642546254,396,0
2.1671216162,0.5930556228,6.2355602956,0.0683545171,245,0
1.052370092,2.763043956,4.6188952855,0,194,0
2.4278788916,2.4030584937,3.2305558152,0.5916727786,42,0
2.6155408743,4.2539927051,2.7440429709,0.1119099087,134,0
0.998845536,2.7196275363,2.3524876892,0,25,0
2.3058969548,2.8540661346,3.1786956937,0,190,0
1.1277592715,0.8753404669,4.5350899725,0,112,0
1.1234568565,4.0907760389,3.0823275563,0.0709989466,117,0
0.5916727786,3.6644977792,0.5916727786,0,14,0
0.4550206598,4.6808134281,0.3809465857,0.3809465857,27,0
2.9164728096,0.9015875015,3.9276969373,0,108,0
0,5.9068905956,0.1222915971,0.1222915971,60,0
1.1862781245,3.75,1.1862781245,0,16,0
2.3796021324,2.2653211347,2.4938878467,0,35,0
0.51157797,5.8998909662,0.5796707075,0.2608629096,68,0
0.4394969869,3.4594316186,0.4394969869,0.4394969869,11,0
0.2081809456,5.8979504523,0.2081809456,0,61,0
1.1133079162,5.6251768746,1.1887842861,0.3064247299,73,0
0.4138168503,3.5849625007,0.4138168503,0.4138168503,12,0
0.5916727786,3.6644977792,0.5916727786,0,14,0
0.2441756337,5.8735572623,0.2108423003,0.2108423003,60,0
0.3877431811,6.1074544823,0.5081200798,0,79,0
0.9182958341,0.9182958341,0.9182958341,0.9182958341,3,0
0.9366673819,3.1751231351,1.3784188527,0,17,0
0.1982349641,5.9915985823,0.1982349641,0.1982349641,65,0
0.6500224216,3.0220552089,1.3844315043,0.8112781245,12,0
0.1119099087,6.0362384442,0.1936428047,0.1936428047,67,0
0.1119099087,6.0660891905,0.1119099087,0,67,0
0.1092857147,6.1085244568,0.1092857147,0.1092857147,69,0
0.1132743035,6.0443941194,0.1132743035,0.1132743035,66,0
1.1567796494,3.1219280949,1.1567796494,0.4689955936,10,0
0.1092857147,6.1085244568,0.1092857147,0.1092857147,69,0
0.5032583348,3.1699250014,0.5032583348,0.5032583348,9,0
0.3199238007,5.9018055187,0.2761954276,0.2761954276,63,0
0.3712323266,3.8073549221,0.3712323266,0.3712323266,14,0
0.2761954276,4.3923174228,0.2761954276,0.2761954276,21,0
0.2695488991,5.6901846055,0.23181305,0.23181305,53,0
0.3227569589,4.0874628413,0.3227569589,0.3227569589,17,0
0,5.7813597135,0,0,55,0
0,5.7279204546,0,0,53,0
0.6583514225,4.3868421881,0.5435644432,0.5435644432,24,0
0.3013786436,5.7224462167,0.3013786436,0.3013786436,56,0
0.6784070909,4.3168277168,0.5586293735,0.5586293735,23,0
0.1330396486,5.7548875022,0.1330396486,0.1330396486,54,0
0.5304060778,4.3685225277,0.4394969869,0.4394969869,22,0
0.228538144,5.7178504651,0.228538144,0.228538144,54,0
0.8658566175,3.2776134368,0.6840384356,0.6840384356,11,0
0.2290041949,5.9915985823,0.1982349641,0.1982349641,65,0
0.8166890883,3.4182958341,0.6500224216,0.6500224216,12,0
0.120681014,5.9307373376,0.120681014,0.120681014,61,0
