IP_source,destination_port,sum_ip
123.26.174.200,0.0,1
123.30.175.229,1.0,2
171.233.49.16,2.584962500721156,6
27.67.38.212,2.584962500721156,6
69.162.124.229,2.0,4
100.69.186.43,2.584962500721156,6
100.111.121.101,1.0,2
113.185.9.52,2.0,4
113.186.222.242,0.0,1
123.26.174.200,2.584962500721156,6
123.30.175.229,1.584962500721156,3
171.233.49.16,1.0,2
42.118.52.174,3.906890595608518,15
113.186.222.242,2.584962500721156,6
123.30.175.229,1.584962500721156,3
171.232.27.113,0.0,1
42.118.52.174,0.0,1
113.185.9.52,2.584962500721156,6
116.104.97.131,0.0,1
123.30.175.229,0.0,1
42.118.52.174,3.8073549220576055,14
113.185.9.52,0.0,1
